0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:43 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:43 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:44 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:44 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:44 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:45 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:45 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:45 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:46 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:47 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:47 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:47 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:48 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:49 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:43:49 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:43 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:43 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:48 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:48 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:49 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:49 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:50 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:44:50 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Jul/2017:08:45:26 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1464
127.0.0.1 - - [12/Jul/2017:08:45:26 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:45:52 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:45:52 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:46:04 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:46:05 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:47:13 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1479
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:47:13 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:47:47 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:47:47 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:48:37 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:48:37 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:49:00 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:49:00 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:49:09 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:49:09 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:49:31 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:49:31 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:49:38 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1339
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:49:38 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:49:46 -0600] "GET /PresidentsProject/president.do HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:49:46 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:50:20 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:50:20 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:50:29 -0600] "GET /PresidentsProject/president.do HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:50:30 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:50:30 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:51:17 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:51:17 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:51:32 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:51:32 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:52:16 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:52:17 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:52:23 -0600] "GET /PresidentsProject/president.do HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:52:23 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:52:24 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:53:19 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:53:19 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:54:31 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:54:31 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:54:45 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:54:45 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:55:40 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1479
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:55:41 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:55:59 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:56:00 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:56:08 -0600] "GET /PresidentsProject/president.do HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:56:08 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:56:08 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:56:14 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1479
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:56:14 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:56:16 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:56:16 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:56:16 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:56:17 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:56:17 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:59:11 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:59:11 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [12/Jul/2017:08:59:12 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:01:35 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:01:35 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:04:42 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:04:42 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:04:56 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:04:56 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:04:57 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:05:03 -0600] "POST /PresidentsProject/president.do HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [12/Jul/2017:09:05:03 -0600] "GET /PresidentsProject/style.css HTTP/1.1" 304 -
